Country,Age,YearsCode,EdLevel,WorkExp,Currency,CompTotal,ConvertedCompYearly,Rate,gini_index,Human Development Index (HDI) ,Expected years of schooling,Mean years of schooling,HDI rank
United States,65,51,5,50.0,USD,200000.0,200000.0,1.0,41.5,0.927,16.4,13.6,21.0
United Kingdom,59,39,3,43.0,GBP,60000.0,74483.0,0.81,35.1,0.94,17.6,13.4,17.0
United States,21,7,5,2.0,USD,55000.0,55000.0,1.0,41.5,0.927,16.4,13.6,21.0
United States,39,25,6,10.0,USD,215000.0,215000.0,1.0,41.5,0.927,16.4,13.6,21.0
United States,49,43,6,32.0,USD,65000.0,65000.0,1.0,41.5,0.927,16.4,13.6,21.0
United Kingdom,39,8,7,7.0,GBP,150000.0,186207.0,0.81,35.1,0.94,17.6,13.4,17.0
Greece,29,15,6,3.0,EUR,30000.0,32127.0,0.93,33.1,0.893,20.0,11.4,33.0
United States,29,14,5,8.0,USD,145000.0,145000.0,1.0,41.5,0.927,16.4,13.6,21.0
United States,29,8,3,17.0,USD,117000.0,117000.0,1.0,41.5,0.927,16.4,13.6,21.0
United States,39,12,3,22.0,USD,140000.0,140000.0,1.0,41.5,0.927,16.4,13.6,21.0
Colombia,29,9,3,7.0,COP,120000000.0,27630.0,4030.0,54.2,0.758,14.4,8.9,89.0
United States,39,16,5,16.0,USD,157696.0,157696.0,1.0,41.5,0.927,16.4,13.6,21.0
United States,59,41,3,40.0,USD,160000.0,160000.0,1.0,41.5,0.927,16.4,13.6,21.0
Togo,21,6,5,3.0,XOF,1200000.0,1960.0,610.0,42.4,0.547,13.0,5.6,160.0
Netherlands,39,20,5,13.0,EUR,45000.0,48190.0,0.93,29.2,0.946,18.6,12.6,11.0
United Kingdom,21,9,6,2.0,GBP,35000.0,43448.0,0.81,35.1,0.94,17.6,13.4,17.0
Denmark,49,33,6,35.0,DKK,1450000.0,208488.0,6.92,27.7,0.952,18.8,13.0,8.0
United States,29,8,5,5.0,USD,69000.0,69000.0,1.0,41.5,0.927,16.4,13.6,21.0
France,39,17,6,18.0,EUR,93000.0,99593.0,0.93,32.4,0.91,16.0,11.7,27.0
United States,39,14,5,10.0,USD,120000.0,120000.0,1.0,41.5,0.927,16.4,13.6,21.0
Spain,29,7,3,3.0,EUR,30000.0,32127.0,0.93,34.3,0.911,17.8,10.6,28.0
United States,29,14,5,10.0,USD,130000.0,130000.0,1.0,41.5,0.927,16.4,13.6,21.0
France,39,17,6,20.0,EUR,50000.0,53545.0,0.93,32.4,0.91,16.0,11.7,27.0
France,29,21,6,12.0,EUR,120000.0,128507.0,0.93,32.4,0.91,16.0,11.7,27.0
Brazil,39,16,3,13.0,BRL,160000.0,32460.0,5.01,48.9,0.76,15.6,8.3,84.0
Switzerland,29,8,6,3.0,CHF,100000.0,110216.0,0.9,33.1,0.967,16.6,13.9,1.0
Spain,29,11,6,2.0,EUR,9600.0,10281.0,0.93,34.3,0.911,17.8,10.6,28.0
Montenegro,49,28,3,23.0,EUR,50000.0,53545.0,0.93,36.8,0.844,15.1,12.6,49.0
Spain,29,16,3,10.0,EUR,45000.0,48190.0,0.93,34.3,0.911,17.8,10.6,28.0
United States,59,46,6,35.0,USD,200000.0,200000.0,1.0,41.5,0.927,16.4,13.6,21.0
United Kingdom,29,11,5,3.0,GBP,45000.0,55862.0,0.81,35.1,0.94,17.6,13.4,17.0
Canada,39,21,6,12.0,CAD,200000.0,148703.0,1.36,33.3,0.935,16.0,13.9,16.0
Portugal,29,15,6,7.0,EUR,18000.0,19276.0,0.93,32.8,0.874,16.8,9.6,39.0
United States,59,44,5,40.0,USD,180000.0,180000.0,1.0,41.5,0.927,16.4,13.6,21.0
United Kingdom,39,18,3,20.0,GBP,130000.0,161380.0,0.81,35.1,0.94,17.6,13.4,17.0
United States,39,25,5,22.0,USD,90000.0,90000.0,1.0,41.5,0.927,16.4,13.6,21.0
Costa Rica,29,11,5,5.0,USD,48000.0,48000.0,1.0,49.3,0.806,16.1,8.8,60.0
United States,39,31,5,11.0,USD,180000.0,180000.0,1.0,41.5,0.927,16.4,13.6,21.0
Ukraine,39,18,6,11.0,UAH,84000.0,2278.0,36.8,25.6,0.734,13.3,11.1,86.0
United States,29,16,6,11.0,USD,170000.0,170000.0,1.0,41.5,0.927,16.4,13.6,21.0
Canada,29,17,5,8.0,CAD,130000.0,96657.0,1.36,33.3,0.935,16.0,13.9,16.0
France,59,45,6,32.0,EUR,70000.0,74963.0,0.93,32.4,0.91,16.0,11.7,27.0
Spain,39,9,5,3.0,EUR,50000.0,53545.0,0.93,34.3,0.911,17.8,10.6,28.0
Germany,29,12,6,5.0,EUR,60000.0,64254.0,0.93,31.7,0.95,17.3,14.3,7.0
Sweden,39,25,5,15.0,SEK,532800.0,49093.0,11.0,29.3,0.952,19.0,12.7,5.0
Mexico,29,10,6,7.0,MXN,1200000.0,68699.0,17.1,45.4,0.781,14.5,9.2,83.0
United States,49,26,3,25.0,USD,175000.0,175000.0,1.0,41.5,0.927,16.4,13.6,21.0
United States,21,10,5,3.0,USD,110000.0,110000.0,1.0,41.5,0.927,16.4,13.6,21.0
France,29,13,6,7.0,EUR,48000.0,51403.0,0.93,32.4,0.91,16.0,11.7,27.0
Israel,39,21,3,12.0,ILS,500000.0,133640.0,3.8,38.6,0.915,15.0,13.4,26.0
Poland,29,14,5,8.0,PLN,228000.0,54552.0,4.3,30.2,0.881,15.9,13.2,35.0
Finland,39,11,5,3.0,EUR,45000.0,48190.0,0.93,27.7,0.942,19.2,12.9,11.0
Brazil,29,3,5,1.0,BRL,50000.0,10144.0,5.01,48.9,0.76,15.6,8.3,84.0
Canada,39,20,7,18.0,CAD,220000.0,163573.0,1.36,33.3,0.935,16.0,13.9,16.0
Germany,39,27,7,14.0,EUR,60000.0,64254.0,0.93,31.7,0.95,17.3,14.3,7.0
Canada,39,15,5,22.0,CAD,100300.0,74574.0,1.36,33.3,0.935,16.0,13.9,16.0
Canada,39,13,3,10.0,CAD,120000.0,89222.0,1.36,33.3,0.935,16.0,13.9,16.0
Finland,29,18,6,7.0,EUR,73400.0,78604.0,0.93,27.7,0.942,19.2,12.9,11.0
Canada,49,36,4,30.0,CAD,115000.0,85504.0,1.36,33.3,0.935,16.0,13.9,16.0
United States,21,7,3,1.0,USD,60000.0,60000.0,1.0,41.5,0.927,16.4,13.6,21.0
Italy,49,36,5,23.0,EUR,50452.0,54029.0,0.93,35.2,0.906,16.7,10.7,30.0
Brazil,21,6,2,3.0,BRL,21000.0,4260.0,5.01,48.9,0.76,15.6,8.3,84.0
Ukraine,49,32,6,25.0,UAH,960000.0,26034.0,36.8,25.6,0.734,13.3,11.1,86.0
Canada,29,18,5,10.0,CAD,130000.0,96657.0,1.36,33.3,0.935,16.0,13.9,16.0
United States,65,44,6,40.0,USD,92000.0,92000.0,1.0,41.5,0.927,16.4,13.6,21.0
Spain,39,13,6,12.0,EUR,45000.0,48190.0,0.93,34.3,0.911,17.8,10.6,28.0
Canada,39,24,7,8.0,CAD,208000.0,154651.0,1.36,33.3,0.935,16.0,13.9,16.0
France,39,29,1,28.0,EUR,100000.0,107090.0,0.93,32.4,0.91,16.0,11.7,27.0
United States,29,9,4,8.0,USD,90000.0,90000.0,1.0,41.5,0.927,16.4,13.6,21.0
Indonesia,39,11,3,10.0,IDR,300000000.0,20200.0,15350.0,37.9,0.713,14.0,8.6,113.0
Nepal,29,6,5,2.0,NPR,1000000.0,7579.0,132.0,32.8,0.601,12.6,4.5,149.0
United States,29,8,5,4.0,USD,145000.0,145000.0,1.0,41.5,0.927,16.4,13.6,21.0
United States,49,25,5,19.0,USD,130000.0,130000.0,1.0,41.5,0.927,16.4,13.6,21.0
Netherlands,21,9,5,1.0,EUR,165000.0,176698.0,0.93,29.2,0.946,18.6,12.6,11.0
United Kingdom,39,6,6,15.0,GBP,110000.0,136552.0,0.81,35.1,0.94,17.6,13.4,17.0
Poland,29,19,2,10.0,PLN,300000.0,71779.0,4.3,30.2,0.881,15.9,13.2,35.0
United States,29,9,5,4.0,USD,120000.0,120000.0,1.0,41.5,0.927,16.4,13.6,21.0
Brazil,29,4,5,10.0,BRL,40000.0,8115.0,5.01,48.9,0.76,15.6,8.3,84.0
Ukraine,39,24,5,15.0,UAH,3700000.0,100338.0,36.8,25.6,0.734,13.3,11.1,86.0
Germany,29,16,4,10.0,EUR,83000.0,88884.0,0.93,31.7,0.95,17.3,14.3,7.0
United States,29,16,5,4.0,USD,130000.0,130000.0,1.0,41.5,0.927,16.4,13.6,21.0
United States,39,24,5,13.0,USD,162000.0,162000.0,1.0,41.5,0.927,16.4,13.6,21.0
Poland,29,10,5,8.0,PLN,276000.0,66036.0,4.3,30.2,0.881,15.9,13.2,35.0
Israel,39,14,3,23.0,ILS,600000.0,160367.0,3.8,38.6,0.915,15.0,13.4,26.0
Portugal,49,37,5,33.0,EUR,60000.0,64254.0,0.93,32.8,0.874,16.8,9.6,39.0
United States,49,31,5,35.0,USD,160000.0,160000.0,1.0,41.5,0.927,16.4,13.6,21.0
United Kingdom,29,19,5,18.0,GBP,110000.0,136552.0,0.81,35.1,0.94,17.6,13.4,17.0
France,29,19,6,6.0,EUR,42000.0,44978.0,0.93,32.4,0.91,16.0,11.7,27.0
Sweden,21,7,2,6.0,SEK,456000.0,42017.0,11.0,29.3,0.952,19.0,12.7,5.0
Germany,39,23,6,16.0,EUR,95000.0,101735.0,0.93,31.7,0.95,17.3,14.3,7.0
Austria,21,7,0,1.0,EUR,40000.0,42836.0,0.93,30.2,0.926,16.4,12.3,22.0
United Kingdom,29,11,5,6.0,GBP,75000.0,93104.0,0.81,35.1,0.94,17.6,13.4,17.0
Germany,29,13,3,10.0,EUR,80400.0,86100.0,0.93,31.7,0.95,17.3,14.3,7.0
United States,59,40,6,36.0,USD,160000.0,160000.0,1.0,41.5,0.927,16.4,13.6,21.0
Sweden,29,14,5,10.0,SEK,926549.0,85374.0,11.0,29.3,0.952,19.0,12.7,5.0
Switzerland,49,32,6,22.0,CHF,145000.0,159814.0,0.9,33.1,0.967,16.6,13.9,1.0
United States,49,31,5,33.0,USD,180000.0,180000.0,1.0,41.5,0.927,16.4,13.6,21.0
Germany,39,21,6,10.0,EUR,80000.0,85672.0,0.93,31.7,0.95,17.3,14.3,7.0
Malaysia,29,8,5,7.0,MYR,114000.0,24898.0,4.68,41.1,0.807,12.9,10.7,68.0
United States,65,41,6,40.0,USD,100000.0,100000.0,1.0,41.5,0.927,16.4,13.6,21.0
United Kingdom,39,18,5,21.0,GBP,74000.0,91862.0,0.81,35.1,0.94,17.6,13.4,17.0
United States,29,7,4,1.0,USD,77500.0,77500.0,1.0,41.5,0.927,16.4,13.6,21.0
Canada,39,26,5,20.0,CAD,310000.0,230489.0,1.36,33.3,0.935,16.0,13.9,16.0
Greece,39,13,5,7.0,EUR,80000.0,85672.0,0.93,33.1,0.893,20.0,11.4,33.0
United Kingdom,29,16,6,12.0,GBP,75000.0,93104.0,0.81,35.1,0.94,17.6,13.4,17.0
United States,29,11,5,5.0,USD,180000.0,180000.0,1.0,41.5,0.927,16.4,13.6,21.0
Hungary,39,25,6,15.0,EUR,78000.0,83530.0,0.93,30.0,0.851,15.1,12.2,46.0
United States,29,15,5,10.0,USD,110000.0,110000.0,1.0,41.5,0.927,16.4,13.6,21.0
Netherlands,39,24,3,15.0,EUR,60000.0,64254.0,0.93,29.2,0.946,18.6,12.6,11.0
Canada,39,19,7,8.0,CAD,95000.0,70634.0,1.36,33.3,0.935,16.0,13.9,16.0
Portugal,39,3,6,17.0,EUR,28000.0,29985.0,0.93,32.8,0.874,16.8,9.6,39.0
United States,39,25,5,20.0,USD,200000.0,200000.0,1.0,41.5,0.927,16.4,13.6,21.0
Lithuania,39,23,4,16.0,EUR,48000.0,51403.0,0.93,35.3,0.879,16.4,13.5,36.0
France,29,13,6,8.0,EUR,60000.0,64254.0,0.93,32.4,0.91,16.0,11.7,27.0
United States,49,27,5,22.0,USD,180000.0,180000.0,1.0,41.5,0.927,16.4,13.6,21.0
Poland,39,26,7,20.0,PLN,480000.0,114846.0,4.3,30.2,0.881,15.9,13.2,35.0
United States,39,16,6,10.0,USD,177000.0,177000.0,1.0,41.5,0.927,16.4,13.6,21.0
United Kingdom,21,11,3,4.0,GBP,35000.0,43448.0,0.81,35.1,0.94,17.6,13.4,17.0
United States,29,7,5,4.0,USD,215000.0,215000.0,1.0,41.5,0.927,16.4,13.6,21.0
Canada,21,5,5,2.0,CAD,110000.0,81787.0,1.36,33.3,0.935,16.0,13.9,16.0
Mexico,29,8,5,5.0,MXN,3000000.0,171748.0,17.1,45.4,0.781,14.5,9.2,83.0
United States,39,18,5,13.0,USD,134000.0,134000.0,1.0,41.5,0.927,16.4,13.6,21.0
Netherlands,21,8,3,4.0,EUR,60000.0,64254.0,0.93,29.2,0.946,18.6,12.6,11.0
United States,49,35,3,31.0,USD,169000.0,169000.0,1.0,41.5,0.927,16.4,13.6,21.0
United Kingdom,29,7,6,2.0,GBP,46000.0,57104.0,0.81,35.1,0.94,17.6,13.4,17.0
Israel,29,5,6,4.0,ILS,490000.0,130967.0,3.8,38.6,0.915,15.0,13.4,26.0
United States,29,12,5,7.0,USD,160000.0,160000.0,1.0,41.5,0.927,16.4,13.6,21.0
United States,29,7,5,7.0,USD,140000.0,140000.0,1.0,41.5,0.927,16.4,13.6,21.0
Romania,21,7,5,2.0,RON,96000.0,20714.0,4.6,34.8,0.827,14.5,11.4,52.0
Canada,29,6,5,5.0,CAD,80000.0,59481.0,1.36,33.3,0.935,16.0,13.9,16.0
United States,29,10,5,14.0,USD,159000.0,159000.0,1.0,41.5,0.927,16.4,13.6,21.0
United States,49,26,6,15.0,USD,128000.0,128000.0,1.0,41.5,0.927,16.4,13.6,21.0
United States,21,8,5,3.0,USD,110000.0,110000.0,1.0,41.5,0.927,16.4,13.6,21.0
Netherlands,29,10,5,7.0,EUR,86000.0,92097.0,0.93,29.2,0.946,18.6,12.6,11.0
United Kingdom,39,15,7,10.0,GBP,156000.0,193656.0,0.81,35.1,0.94,17.6,13.4,17.0
United States,29,5,5,2.0,USD,60000.0,60000.0,1.0,41.5,0.927,16.4,13.6,21.0
Canada,29,9,4,5.0,CAD,58240.0,43302.0,1.36,33.3,0.935,16.0,13.9,16.0
Norway,39,18,5,17.0,NOK,1300000.0,117797.0,10.7,27.7,0.966,18.6,13.1,2.0
United States,39,26,5,13.0,USD,220000.0,220000.0,1.0,41.5,0.927,16.4,13.6,21.0
Germany,29,11,6,5.0,EUR,51000.0,54616.0,0.93,31.7,0.95,17.3,14.3,7.0
United Kingdom,29,15,5,7.0,GBP,80000.0,99311.0,0.81,35.1,0.94,17.6,13.4,17.0
France,39,6,5,5.0,EUR,50.0,54.0,0.93,32.4,0.91,16.0,11.7,27.0
United States,49,31,3,30.0,USD,177000.0,177000.0,1.0,41.5,0.927,16.4,13.6,21.0
United States,39,25,5,12.0,USD,171000.0,171000.0,1.0,41.5,0.927,16.4,13.6,21.0
United States,39,26,7,18.0,USD,220000.0,220000.0,1.0,41.5,0.927,16.4,13.6,21.0
United States,29,9,5,16.0,USD,113000.0,113000.0,1.0,41.5,0.927,16.4,13.6,21.0
India,29,13,5,5.0,INR,1230000.0,14904.0,83.0,35.7,0.644,12.6,6.6,135.0
United States,49,21,3,20.0,USD,90000.0,90000.0,1.0,41.5,0.927,16.4,13.6,21.0
Denmark,29,21,7,4.0,EUR,100000.0,107090.0,0.93,27.7,0.952,18.8,13.0,8.0
Austria,21,18,5,7.0,EUR,80000.0,85672.0,0.93,30.2,0.926,16.4,12.3,22.0
United Kingdom,29,14,6,8.0,GBP,63000.0,78207.0,0.81,35.1,0.94,17.6,13.4,17.0
Canada,29,13,5,9.0,CAD,178000.0,132346.0,1.36,33.3,0.935,16.0,13.9,16.0
Colombia,39,20,6,14.0,COP,216000000.0,49733.0,4030.0,54.2,0.758,14.4,8.9,89.0
India,29,13,5,8.0,INR,4800000.0,58161.0,83.0,35.7,0.644,12.6,6.6,135.0
United States,29,9,5,3.0,USD,96500.0,96500.0,1.0,41.5,0.927,16.4,13.6,21.0
United Kingdom,29,18,6,14.0,GBP,160000.0,198621.0,0.81,35.1,0.94,17.6,13.4,17.0
United States,39,21,6,16.0,USD,200.0,200.0,1.0,41.5,0.927,16.4,13.6,21.0
United Kingdom,49,36,5,23.0,GBP,60000.0,74483.0,0.81,35.1,0.94,17.6,13.4,17.0
Poland,29,9,3,7.0,PLN,336000.0,80392.0,4.3,30.2,0.881,15.9,13.2,35.0
Germany,39,36,5,16.0,EUR,72000.0,77104.0,0.93,31.7,0.95,17.3,14.3,7.0
Mexico,29,6,4,1.0,MXN,18000.0,1030.0,17.1,45.4,0.781,14.5,9.2,83.0
United States,29,12,5,7.0,USD,125000.0,125000.0,1.0,41.5,0.927,16.4,13.6,21.0
United States,29,18,7,3.0,USD,150000.0,150000.0,1.0,41.5,0.927,16.4,13.6,21.0
United States,39,8,3,24.0,USD,142000.0,142000.0,1.0,41.5,0.927,16.4,13.6,21.0
Brazil,39,21,6,10.0,BRL,72000.0,14607.0,5.01,48.9,0.76,15.6,8.3,84.0
United States,39,31,5,21.0,USD,160000.0,160000.0,1.0,41.5,0.927,16.4,13.6,21.0
United States,49,26,7,25.0,USD,180000.0,180000.0,1.0,41.5,0.927,16.4,13.6,21.0
Germany,29,20,3,11.0,EUR,95000.0,101735.0,0.93,31.7,0.95,17.3,14.3,7.0
Germany,39,22,2,25.0,EUR,92000.0,98522.0,0.93,31.7,0.95,17.3,14.3,7.0
United Kingdom,39,22,6,10.0,GBP,120000.0,148966.0,0.81,35.1,0.94,17.6,13.4,17.0
United States,29,18,5,12.0,USD,122320.0,122320.0,1.0,41.5,0.927,16.4,13.6,21.0
United States,49,17,5,16.0,USD,98000.0,98000.0,1.0,41.5,0.927,16.4,13.6,21.0
Colombia,21,3,3,5.0,USD,1000.0,1000.0,1.0,54.2,0.758,14.4,8.9,89.0
United States,39,31,6,23.0,USD,140400.0,140400.0,1.0,41.5,0.927,16.4,13.6,21.0
United States,21,8,5,2.0,USD,90000.0,90000.0,1.0,41.5,0.927,16.4,13.6,21.0
Chile,29,7,5,2.0,CLP,19800000.0,24746.0,880.0,44.9,0.86,16.8,11.1,42.0
United States,39,27,5,21.0,USD,230000.0,230000.0,1.0,41.5,0.927,16.4,13.6,21.0
South Africa,39,26,5,21.0,ZAR,1500000.0,77807.0,19.2,63.0,0.717,14.3,11.6,105.0
Spain,39,18,7,12.0,EUR,35000.0,37481.0,0.93,34.3,0.911,17.8,10.6,28.0
Canada,29,5,2,1.0,CAD,62000.0,46098.0,1.36,33.3,0.935,16.0,13.9,16.0
United States,59,49,5,40.0,USD,185000.0,185000.0,1.0,41.5,0.927,16.4,13.6,21.0
United States,49,27,5,26.0,USD,172000.0,172000.0,1.0,41.5,0.927,16.4,13.6,21.0
United States,29,15,5,10.0,USD,96000.0,96000.0,1.0,41.5,0.927,16.4,13.6,21.0
Canada,39,21,5,15.0,CAD,115000.0,85504.0,1.36,33.3,0.935,16.0,13.9,16.0
United States,29,12,5,5.0,USD,210000.0,210000.0,1.0,41.5,0.927,16.4,13.6,21.0
France,29,12,6,3.0,EUR,28000.0,29985.0,0.93,32.4,0.91,16.0,11.7,27.0
United States,39,36,5,19.0,USD,225000.0,225000.0,1.0,41.5,0.927,16.4,13.6,21.0
Canada,29,11,5,7.0,CAD,145000.0,107810.0,1.36,33.3,0.935,16.0,13.9,16.0
Mexico,49,36,6,29.0,MXN,750000.0,42937.0,17.1,45.4,0.781,14.5,9.2,83.0
Germany,39,12,5,14.0,EUR,92000.0,98522.0,0.93,31.7,0.95,17.3,14.3,7.0
Sweden,49,33,5,24.0,SEK,70000.0,6450.0,11.0,29.3,0.952,19.0,12.7,5.0
United Kingdom,29,21,6,11.0,GBP,42650.0,52945.0,0.81,35.1,0.94,17.6,13.4,17.0
Canada,29,9,5,8.0,CAD,150000.0,111527.0,1.36,33.3,0.935,16.0,13.9,16.0
Netherlands,39,9,6,8.0,EUR,80000.0,85672.0,0.93,29.2,0.946,18.6,12.6,11.0
Sweden,39,13,5,15.0,SEK,828905.0,76377.0,11.0,29.3,0.952,19.0,12.7,5.0
Canada,39,36,7,21.0,CAD,250000.0,185879.0,1.36,33.3,0.935,16.0,13.9,16.0
United Kingdom,29,9,5,6.0,GBP,75000.0,93104.0,0.81,35.1,0.94,17.6,13.4,17.0
Argentina,29,15,5,11.0,EUR,50000.0,53545.0,0.93,42.3,0.849,19.0,11.1,47.0
Norway,29,7,5,2.0,NOK,600000.0,54368.0,10.7,27.7,0.966,18.6,13.1,2.0
Lithuania,39,6,5,3.0,EUR,18000.0,19276.0,0.93,35.3,0.879,16.4,13.5,36.0
Spain,39,23,6,18.0,EUR,28500.0,30521.0,0.93,34.3,0.911,17.8,10.6,28.0
Kenya,29,15,5,9.0,KES,9500000.0,68451.0,145.0,40.8,0.601,11.4,7.7,147.0
United States,39,31,6,20.0,USD,177500.0,177500.0,1.0,41.5,0.927,16.4,13.6,21.0
United States,39,12,5,8.0,USD,163000.0,163000.0,1.0,41.5,0.927,16.4,13.6,21.0
United States,21,12,6,1.0,USD,55000.0,55000.0,1.0,41.5,0.927,16.4,13.6,21.0
United States,29,12,5,8.0,USD,195000.0,195000.0,1.0,41.5,0.927,16.4,13.6,21.0
Estonia,39,16,6,12.0,EUR,67200.0,71964.0,0.93,30.8,0.899,15.9,13.5,32.0
United States,29,11,5,4.0,USD,165000.0,165000.0,1.0,41.5,0.927,16.4,13.6,21.0
United Kingdom,29,13,5,11.0,GBP,48100.0,59710.0,0.81,35.1,0.94,17.6,13.4,17.0
Bangladesh,29,15,5,10.0,BDT,3600000.0,33469.0,109.5,32.4,0.67,11.9,7.4,130.0
Germany,59,39,6,29.0,EUR,80000.0,85672.0,0.93,31.7,0.95,17.3,14.3,7.0
United States,39,22,5,12.0,USD,155000.0,155000.0,1.0,41.5,0.927,16.4,13.6,21.0
United States,59,33,6,30.0,USD,190000.0,190000.0,1.0,41.5,0.927,16.4,13.6,21.0
Canada,29,14,5,8.0,CAD,92000.0,68403.0,1.36,33.3,0.935,16.0,13.9,16.0
Brazil,21,7,5,3.0,BRL,50000.0,10144.0,5.01,48.9,0.76,15.6,8.3,84.0
Portugal,39,5,5,13.0,EUR,48300.0,51724.0,0.93,32.8,0.874,16.8,9.6,39.0
United States,39,12,3,10.0,USD,155000.0,155000.0,1.0,41.5,0.927,16.4,13.6,21.0
United States,39,23,6,20.0,USD,210000.0,210000.0,1.0,41.5,0.927,16.4,13.6,21.0
Netherlands,29,12,4,11.0,EUR,49000.0,52474.0,0.93,29.2,0.946,18.6,12.6,11.0
France,29,16,7,10.0,EUR,53000.0,56757.0,0.93,32.4,0.91,16.0,11.7,27.0
United States,29,15,5,12.0,USD,130000.0,130000.0,1.0,41.5,0.927,16.4,13.6,21.0
United Kingdom,39,26,3,17.0,GBP,80000.0,99311.0,0.81,35.1,0.94,17.6,13.4,17.0
Sweden,49,11,5,30.0,SEK,625000.0,57588.0,11.0,29.3,0.952,19.0,12.7,5.0
United States,39,12,5,11.0,USD,120000.0,120000.0,1.0,41.5,0.927,16.4,13.6,21.0
United States,29,9,5,8.0,USD,100000.0,100000.0,1.0,41.5,0.927,16.4,13.6,21.0
United States,29,18,5,10.0,USD,230000.0,230000.0,1.0,41.5,0.927,16.4,13.6,21.0
Netherlands,21,8,5,3.0,EUR,48000.0,51403.0,0.93,29.2,0.946,18.6,12.6,11.0
Canada,29,12,6,7.0,CAD,240000.0,178443.0,1.36,33.3,0.935,16.0,13.9,16.0
United States,49,14,6,20.0,USD,120000.0,120000.0,1.0,41.5,0.927,16.4,13.6,21.0
Israel,29,17,2,9.0,ILS,326700.0,87320.0,3.8,38.6,0.915,15.0,13.4,26.0
Brazil,39,18,3,12.0,BRL,216000.0,43821.0,5.01,48.9,0.76,15.6,8.3,84.0
India,29,9,6,5.0,INR,1400000.0,16964.0,83.0,35.7,0.644,12.6,6.6,135.0
Germany,39,24,7,5.0,EUR,93000.0,99593.0,0.93,31.7,0.95,17.3,14.3,7.0
Austria,49,13,2,12.0,EUR,60000.0,64254.0,0.93,30.2,0.926,16.4,12.3,22.0
Brazil,29,9,5,0.0,BRL,40820.0,8281.0,5.01,48.9,0.76,15.6,8.3,84.0
Netherlands,29,12,6,9.0,EUR,55000.0,58899.0,0.93,29.2,0.946,18.6,12.6,11.0
Norway,29,7,5,8.0,NOK,660000.0,59805.0,10.7,27.7,0.966,18.6,13.1,2.0
Canada,29,17,6,9.0,CAD,230000.0,171008.0,1.36,33.3,0.935,16.0,13.9,16.0
Spain,39,27,6,14.0,EUR,100000.0,107090.0,0.93,34.3,0.911,17.8,10.6,28.0
Switzerland,39,8,6,5.0,CHF,120000.0,132260.0,0.9,33.1,0.967,16.6,13.9,1.0
United States,39,21,6,14.0,USD,160000.0,160000.0,1.0,41.5,0.927,16.4,13.6,21.0
United States,39,27,5,13.0,USD,140000.0,140000.0,1.0,41.5,0.927,16.4,13.6,21.0
United Arab Emirates,29,11,5,8.0,AED,180000.0,48993.0,3.67,26.0,0.937,17.2,12.8,17.0
United States,39,16,5,12.0,USD,125000.0,125000.0,1.0,41.5,0.927,16.4,13.6,21.0
United States,39,25,5,20.0,USD,137000.0,137000.0,1.0,41.5,0.927,16.4,13.6,21.0
Germany,49,16,5,15.0,EUR,80000.0,85672.0,0.93,31.7,0.95,17.3,14.3,7.0
United States,29,9,5,5.0,USD,175000.0,175000.0,1.0,41.5,0.927,16.4,13.6,21.0
United States,29,10,5,5.0,USD,126000.0,126000.0,1.0,41.5,0.927,16.4,13.6,21.0
Italy,39,16,3,15.0,EUR,70000.0,74963.0,0.93,35.2,0.906,16.7,10.7,30.0
United Kingdom,59,38,6,35.0,GBP,100000.0,124138.0,0.81,35.1,0.94,17.6,13.4,17.0
Brazil,21,3,4,2.0,BRL,48000.0,9738.0,5.01,48.9,0.76,15.6,8.3,84.0
Canada,39,23,5,13.0,CAD,120000.0,89222.0,1.36,33.3,0.935,16.0,13.9,16.0
Sweden,29,16,5,11.0,SEK,528000.0,48651.0,11.0,29.3,0.952,19.0,12.7,5.0
Canada,29,10,6,5.0,CAD,126000.0,93683.0,1.36,33.3,0.935,16.0,13.9,16.0
Germany,39,19,3,14.0,EUR,70000.0,74963.0,0.93,31.7,0.95,17.3,14.3,7.0
United States,39,11,5,6.0,USD,89000.0,89000.0,1.0,41.5,0.927,16.4,13.6,21.0
Germany,29,19,7,6.0,EUR,58142.0,62264.0,0.93,31.7,0.95,17.3,14.3,7.0
Brazil,21,6,2,3.0,BRL,51480.0,10444.0,5.01,48.9,0.76,15.6,8.3,84.0
Germany,39,26,6,20.0,EUR,96000.0,102806.0,0.93,31.7,0.95,17.3,14.3,7.0
Nigeria,29,6,5,4.0,NGN,7000000.0,15164.0,760.0,35.1,0.548,10.5,7.6,162.0
Bangladesh,29,9,3,8.0,BDT,1653600.0,15373.0,109.5,32.4,0.67,11.9,7.4,130.0
Germany,21,8,2,1.0,EUR,48000.0,51403.0,0.93,31.7,0.95,17.3,14.3,7.0
Ireland,39,26,7,13.0,EUR,120000.0,128507.0,0.93,30.6,0.95,19.1,11.7,9.0
United States,29,7,5,2.0,USD,85000.0,85000.0,1.0,41.5,0.927,16.4,13.6,21.0
Canada,39,27,5,21.0,CAD,128000.0,95170.0,1.36,33.3,0.935,16.0,13.9,16.0
United States,39,10,5,18.0,USD,105000.0,105000.0,1.0,41.5,0.927,16.4,13.6,21.0
Netherlands,59,48,6,37.0,EUR,90000.0,96381.0,0.93,29.2,0.946,18.6,12.6,11.0
Germany,39,31,0,25.0,EUR,65000.0,69608.0,0.93,31.7,0.95,17.3,14.3,7.0
