Country,Age,YearsCode,EdLevel,WorkExp,Currency,CompTotal,ConvertedCompYearly,Rate,gini_index,Human Development Index (HDI) ,Expected years of schooling,Mean years of schooling,HDI rank
Croatia,29,4,3,2.0,EUR,32600.0,34911.0,0.93,28.9,0.878,15.6,12.3,37.0
Spain,21,6,5,3.0,EUR,25000.0,26772.0,0.93,34.3,0.911,17.8,10.6,28.0
Italy,39,24,6,18.0,EUR,61000.0,65325.0,0.93,35.2,0.906,16.7,10.7,30.0
Cyprus,39,9,7,16.0,EUR,70000.0,74963.0,0.93,31.2,0.907,16.2,12.4,29.0
Sweden,49,36,6,24.0,SEK,558000.0,51415.0,11.0,29.3,0.952,19.0,12.7,5.0
United States,39,31,5,25.0,USD,170000.0,170000.0,1.0,41.5,0.927,16.4,13.6,21.0
Denmark,49,41,5,30.0,DKK,960000.0,138033.0,6.92,27.7,0.952,18.8,13.0,8.0
Russian Federation,39,26,6,25.0,RUB,430000.0,5322.0,96.5,36.0,0.821,15.7,12.4,55.0
Austria,21,11,2,5.0,EUR,3700.0,3962.0,0.93,30.2,0.926,16.4,12.3,22.0
United States,39,24,5,19.0,USD,110000.0,110000.0,1.0,41.5,0.927,16.4,13.6,21.0
Belgium,29,16,6,15.0,EUR,50000.0,53545.0,0.93,27.2,0.942,18.9,12.5,13.0
India,21,11,5,3.0,INR,3000000.0,36351.0,83.0,35.7,0.644,12.6,6.6,135.0
France,29,16,6,8.0,EUR,52000.0,55687.0,0.93,32.4,0.91,16.0,11.7,27.0
Italy,39,30,3,17.0,EUR,53000.0,56757.0,0.93,35.2,0.906,16.7,10.7,30.0
Greece,39,21,6,16.0,EUR,75000.0,80317.0,0.93,33.1,0.893,20.0,11.4,33.0
Netherlands,29,8,5,7.0,EUR,70000.0,74963.0,0.93,29.2,0.946,18.6,12.6,11.0
Germany,29,11,5,7.0,EUR,95000.0,101735.0,0.93,31.7,0.95,17.3,14.3,7.0
United Kingdom,29,11,5,3.0,GBP,57500.0,71379.0,0.81,35.1,0.94,17.6,13.4,17.0
Switzerland,29,9,5,3.0,CHF,90000.0,99195.0,0.9,33.1,0.967,16.6,13.9,1.0
Russian Federation,21,3,5,2.0,RUB,4800000.0,59403.0,96.5,36.0,0.821,15.7,12.4,55.0
Hungary,29,9,5,5.0,HUF,20000000.0,58008.0,358.0,30.0,0.851,15.1,12.2,46.0
United States,29,12,5,9.0,USD,120000.0,120000.0,1.0,41.5,0.927,16.4,13.6,21.0
India,29,8,5,7.0,USD,10000.0,10000.0,1.0,35.7,0.644,12.6,6.6,135.0
United Kingdom,21,7,3,8.0,GBP,180000.0,223449.0,0.81,35.1,0.94,17.6,13.4,17.0
Brazil,29,11,5,5.0,BRL,150000.0,30431.0,5.01,48.9,0.76,15.6,8.3,84.0
Sweden,39,31,2,20.0,SEK,600000.0,55285.0,11.0,29.3,0.952,19.0,12.7,5.0
China,29,17,2,8.0,CNY,130000.0,18289.0,7.3,38.2,0.788,15.2,8.1,74.0
Germany,21,8,5,6.0,EUR,15000.0,16063.0,0.93,31.7,0.95,17.3,14.3,7.0
