#,country,Daily Oil Consumption (Barrels),World Share,Yearly Gallons Per Capita,Price Per Gallon (USD),Price Per Liter (USD),Price Per Liter (PKR),country_standardized
87,Serbia,74000,0.08%,128.1,6.64,1.76,371.18,Serbia
88,Tanzania,71999,0.07%,20.8,4.86,1.28,271.57,"Tanzania, United Republic of"
89,Croatia,69000,0.07%,251.3,7.24,1.91,404.39,Croatia
90,Bahrain,62000,0.06%,666.6,2.01,0.53,112.31,Bahrain
91,Lithuania,61612,0.06%,326.9,8.11,2.14,453.24,Lithuania
92,Yemen,60000,0.06%,33.9,1.96,0.52,109.35,Yemen
93,Honduras,58000,0.06%,95.9,5.49,1.45,306.46,Honduras
94,Trinidad and Tobago,57000,0.06%,634.3,3.76,0.99,210.02,Trinidad and Tobago
95,Luxembourg,56194,0.06%,1487.2,7.91,2.09,441.82,Luxembourg
96,Costa Rica,55000,0.06%,172.1,5.87,1.55,327.83,Costa Rica
97,Jamaica,54000,0.06%,284.8,6.36,1.68,355.32,Jamaica
98,Uruguay,53000,0.06%,237.3,7.64,2.02,427.02,Uruguay
99,El Salvador,52000,0.05%,125.4,4.31,1.14,240.9,El Salvador
100,Slovenia,52298,0.05%,386.5,6.15,1.62,343.48,Slovenia
101,Cyprus,52000,0.05%,681.2,7.04,1.86,393.18,Cyprus
102,C̫te d'Ivoire,51000,0.05%,32.8,4.47,1.18,249.57,C̫te d'Ivoire
103,Paraguay,51000,0.05%,115.4,5.3,1.4,295.89,Paraguay
104,Uzbekistan,49000,0.05%,23.9,3.39,0.9,189.29,Uzbekistan
105,Senegal,49000,0.05%,50.1,5.39,1.42,300.96,Senegal
106,Cambodia,48000,0.05%,46.7,5.78,1.53,322.96,Cambodia
107,Malta,47000,0.05%,1652.2,5.28,1.4,295.04,Malta
108,Nepal,43000,0.04%,24.2,5.39,1.42,301.18,Nepal
109,Mozambique,40000,0.04%,22.0,4.94,1.3,275.8,Mozambique
110,Cameroon,40000,0.04%,25.6,3.93,1.04,219.33,Cameroon
111,Kyrgyzstan,40000,0.04%,100.9,3.14,0.83,175.55,Kyrgyzstan
112,Latvia,37694,0.04%,292.7,8.28,2.19,462.55,Latvia
113,Papua New Guinea,37001,0.04%,68.6,5.87,1.55,327.83,Papua New Guinea
114,Nicaragua,37000,0.04%,90.0,5.18,1.37,289.54,Nicaragua
